tag,Australian standard
mathematics teaching,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
meals,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
measuring,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
mechanics,['DIVISION 09 ENGINEERING']
media consumption,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
media industry,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
medial tibial stress syndrome,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mediation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mediatization,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mediator,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
medical imaging,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
medical problems,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
medicare,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
medication,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
medication adherence,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
medicine,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mediterranean diet,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
melanesia,[nan]
melbourne,[nan]
member state,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
membranes,[nan]
memory,[nan]
men's health,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
menstruation,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental competency,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental disorders,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental fatigue,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental health,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental health care,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental health services,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental health support,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mental illness,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mentoring,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mentors,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mercury,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 02 PHYSICAL SCIENCES']"
mesocosm,['DIVISION 05 ENVIRONMENTAL SCIENCES']
meta-analysis,[nan]
metabolic syndrome,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
metabolism,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
metadata,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
metagenomics,[nan]
metal,['DIVISION 09 ENGINEERING']
metals,['DIVISION 09 ENGINEERING']
metaphor,[nan]
metatheria,[nan]
method,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
methodology,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
metropolis,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
microbiota,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
microcosm,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
microfinance,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
micronesia,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
micrornas,[nan]
microsatellite repeats,[nan]
microsimulation,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
middle aged,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
middle cerebral artery,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
middle east,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
midwife,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
midwifery,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
migrant,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
migrants,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
migration,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
military,[nan]
military personnel,[nan]
milk,"['DIVISION 03 CHEMICAL SCIENCES', 'DIVISION 09 ENGINEERING']"
minerals,"['DIVISION 04 EARTH SCIENCES', 'DIVISION 05 ENVIRONMENTAL SCIENCES']"
minister,[nan]
ministry,[nan]
minority,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
misgurnus anguillicaudatus,[nan]
mismatch,[nan]
mitigation,"[nan, 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']"
mitochondrial dna,"['DIVISION 10 TECHNOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'DIVISION 06 BIOLOGICAL SCIENCES']"
mitochondrial genome,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mixed methods,['DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']
mobile applications,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
mobile computing,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
mobile phone,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
mobile robots,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
mobilization,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
model,[nan]
modeling,"[nan, 'DIVISION 19 STUDIES IN CREATIVE ARTS AND WRITING']"
modernity,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
modernization,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
money,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
monitoring,"[nan, 'DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
monoclonal antibodies,[nan]
monopoly,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
moral philosophy,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
morbidity,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mortality,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mortgages,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mothers,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
motion,['DIVISION 02 PHYSICAL SCIENCES']
motivation,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
motor skills,[nan]
motor vehicle,['DIVISION 09 ENGINEERING']
motor vehicles,['DIVISION 09 ENGINEERING']
mountain,['DIVISION 05 ENVIRONMENTAL SCIENCES']
mouth,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
mucosal immunity,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
multi agent systems,['DIVISION 09 ENGINEERING']
multicultural society,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
multimedia,"[nan, 'DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
multiple sclerosis,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
multivariate analysis,"['DIVISION 08 INFORMATION AND COMPUTING SCIENCES', 'DIVISION 10 TECHNOLOGY']"
muscle,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
muscle strength,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
muscle weakness,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
muscles,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
museum,[nan]
museums,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
music,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
musician,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
muslim,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
muslims,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
mutation,"['DIVISION 10 TECHNOLOGY', 'DIVISION 06 BIOLOGICAL SCIENCES']"
myalgia,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
myocardial ischemia,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
myopia,"['DIVISION 11 MEDICAL AND HEALTH SCIENCES', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES']"
myth,"['DIVISION 13 EDUCATION', 'DIVISION 20 LANGUAGE', 'DIVISION 21 HISTORY AND ARCHAEOLOGY', 'DIVISION 18 LAW AND LEGAL STUDIES COGNITIVE SCIENCES', 'DIVISION 22 PHILOSOPHY AND RELIGIOUS STUDIES', 'DIVISION 15 COMMERCE', 'DIVISION 16 STUDIES IN HUMAN SOCIETY', 'COMMUNICATION AND CULTURE', 'DIVISION 14 ECONOMICS', 'DIVISION 17 PSYCHOLOGY AND COGNITIVE SCIENCES', 'TOURISM AND SERVICES', 'MANAGEMENT']"
